GeoName,Year,All industry total,Personal income (thousands of dollars),Population (persons) 3/,Total employment,Wages and salaries
"Ripley, IN",2012,1079497,1007339,28569,16517,537293
"Rush, IN",2012,475335,623546,17129,6999,170998
"Scott, IN",2012,538594,736461,23846,9545,233252
"Shelby, IN",2012,1614919,1612088,44298,22059,675077
"Spencer, IN",2012,1381757,751710,20695,9935,260897
"St. Joseph, IN",2012,11474013,10283484,266843,151435,5095129
"Starke, IN",2012,400715,693257,23235,6622,136101
"Steuben, IN",2012,1187170,1205291,34088,19656,492873
"Sullivan, IN",2012,1047617,650371,21256,8398,254032
"Switzerland, IN",2012,224343,279170,10241,3545,79629
"Tippecanoe, IN",2012,7330180,5957031,177186,104570,3594682
"Tipton, IN",2012,423137,599499,15693,6246,162552
"Union, IN",2012,124514,226157,7349,2522,44584
"Vanderburgh, IN",2012,9844513,7614588,180600,128562,4537733
"Vermillion, IN",2012,732741,526383,15939,6060,210121
"Vigo, IN",2012,4334426,3575808,108441,61306,1964575
"Wabash, IN",2012,1083824,1170715,32425,16461,419122
"Warren, IN",2012,242769,336671,8443,3062,73651
"Warrick, IN",2012,2009346,2793705,60519,23193,660531
"Washington, IN",2012,523939,872740,27925,9389,197530
"Wayne, IN",2012,2448320,2332436,68420,37427,1084107
"Wells, IN",2012,996225,1006996,27719,14403,413107
"White, IN",2012,823066,896109,24574,12457,315080
"Whitley, IN",2012,1085622,1246182,33328,16223,445475
"Adams, IN",2013,1331565,1195806,34658,19360,466014
"Allen, IN",2013,16440410,13873919,364617,227175,7834186
"Bartholomew, IN",2013,6420635,3412352,79016,57341,2422208
"Benton, IN",2013,437948,385078,8745,3895,88860
"Blackford, IN",2013,295651,417619,12563,4853,120628
"Boone, IN",2013,2644136,3691795,60883,35934,1021008
"Brown, IN",2013,251365,588876,15177,5722,83331
"Carroll, IN",2013,615110,775819,20146,7859,186642
"Cass, IN",2013,1296465,1299926,38713,18625,518347
"Clark, IN",2013,4590970,4242700,113345,62091,1920890
"Clay, IN",2013,654264,873320,26735,10971,248554
"Clinton, IN",2013,1195705,1122296,33074,14472,417597
"Crawford, IN",2013,181614,298374,10595,3614,59466
"Daviess, IN",2013,1064133,1178396,32245,16936,400337
"DeKalb, IN",2013,2256612,1542974,42264,26045,905922
"Dearborn, IN",2013,1473265,1987264,50051,20192,556835
"Decatur, IN",2013,1228393,977128,26203,16961,546496
"Delaware, IN",2013,3716793,3651098,116304,58990,1784172
"Dubois, IN",2013,2333822,1949998,42621,33591,1101500
"Elkhart, IN",2013,10715066,7174727,200474,142367,5031887
"Fayette, IN",2013,556566,798509,23977,8810,230058
"Floyd, IN",2013,2414727,3332583,76524,38932,1147063
"Fountain, IN",2013,579179,625674,16876,7482,176971
"Franklin, IN",2013,449480,921432,22987,7432,136730
"Fulton, IN",2013,640036,758286,20593,9686,240966
"Gibson, IN",2013,2850483,1322436,33244,23439,962340
"Grant, IN",2013,2452516,2355821,69307,35254,1094361
"Greene, IN",2013,581741,1091520,32289,10821,215487
"Hamilton, IN",2013,14115168,18260467,298290,172720,6422987
"Hancock, IN",2013,2162544,3042561,71184,31408,938231
"Harrison, IN",2013,920328,1405517,38694,16032,356528
"Hendricks, IN",2013,4959517,6437070,154264,74601,2125945
"Henry, IN",2013,1097949,1576902,49130,17227,433026
"Howard, IN",2013,4560541,2895357,83057,47549,1800348
"Huntington, IN",2013,1324590,1329292,36858,18988,518665
"Jackson, IN",2013,1924938,1625076,44118,24735,801702
"Jasper, IN",2013,1517605,1371604,33269,16279,477951
"Jay, IN",2013,811616,744155,21284,10829,265342
"Jefferson, IN",2013,1382734,1161581,32711,16545,491026
"Jennings, IN",2013,630635,923606,28260,10209,279134
"Johnson, IN",2013,4143473,6033691,145927,66277,1810602
"Knox, IN",2013,1710757,1485997,37986,22497,683278
"Kosciusko, IN",2013,4377135,3159186,78219,46957,1785718
"LaPorte, IN",2013,3975461,4028068,112292,53437,1666192
"Lagrange, IN",2013,1256768,1269629,38216,20492,503841
"Lake, IN",2013,21896019,18337764,495518,242916,9272935
"Lawrence, IN",2013,1162025,1526714,45757,18746,474560
"Madison, IN",2013,3316342,4175201,130479,51771,1445333
"Marion, IN",2013,84328503,41563831,933531,713191,31781270
"Marshall, IN",2013,1618517,1672269,46901,24314,674571
"Martin, IN",2013,818179,337654,10145,8656,461043
"Miami, IN",2013,861508,1081299,36390,13313,358308
"Monroe, IN",2013,5582298,4780326,139512,85281,2562692
"Montgomery, IN",2013,1538059,1393119,38014,19976,621447
"Morgan, IN",2013,1413405,2611247,69705,22647,546853
"Newton, IN",2013,402901,550924,13999,5113,131610
"Noble, IN",2013,1759051,1586604,47113,23335,673988
"Ohio, IN",2013,106963,203424,6005,2305,44685
"Orange, IN",2013,566420,610698,19894,10084,250392
"Owen, IN",2013,425688,675926,21305,7470,177573
"Parke, IN",2013,319099,536124,17002,5425,99351
"Perry, IN",2013,650358,609989,19427,8524,245860
"Pike, IN",2013,929528,444800,12445,4658,170355
"Porter, IN",2013,6399801,7419573,167271,77672,2612632
"Posey, IN",2013,1431255,1113201,25533,11740,464856
